area,rooms,floor,total_floors,year,price
55.3,2,7,9,1980,8142000.0
46.0,1,4,25,2006,6834000.0
22.3,1,5,17,2001,3209000.0
68.6,2,11,12,2017,10595000.0
45.1,1,3,5,1969,6021000.0
48.0,1,3,5,1966,5493000.0
51.0,2,1,5,1968,5683000.0
84.1,3,6,17,2018,13087000.0
56.9,2,1,12,2018,7169000.0
69.3,3,12,17,2023,9956000.0
78.0,3,4,5,1961,7903000.0
100.9,4,16,25,2024,13371000.0
66.0,3,11,17,2022,9111000.0
59.4,2,6,9,1998,7252000.0
56.8,2,4,5,1984,7131000.0
33.3,1,1,5,1971,3802000.0
56.7,2,8,9,1993,7770000.0
105.2,4,11,12,2005,12508000.0
53.0,2,2,9,1998,6683000.0
45.6,2,8,9,1975,6000000.0
47.8,2,6,12,2014,6431000.0
58.3,2,5,5,1981,7472000.0
53.7,2,5,9,1993,6540000.0
56.3,2,8,9,1988,7513000.0
52.4,2,7,9,1998,7563000.0
49.0,2,8,17,2024,5363000.0
82.6,3,4,5,1972,10391000.0
76.2,3,8,12,2004,11476000.0
33.9,1,7,12,2001,4608000.0
77.0,3,2,5,1974,9308000.0
44.3,1,11,12,2015,6023000.0
28.1,1,1,5,1966,3142000.0
65.6,2,5,5,1981,9680000.0
34.3,1,23,25,2005,3816000.0
36.0,1,12,25,2016,5095000.0
48.8,2,17,17,2000,6775000.0
73.4,2,2,9,1980,10256000.0
40.1,1,5,5,1965,3917000.0
44.5,2,1,12,2003,5139000.0
59.1,2,3,9,1982,6970000.0
64.8,2,3,5,1968,7105000.0
79.3,3,5,9,1996,10100000.0
61.7,2,1,5,1969,5610000.0
31.0,1,20,25,2023,4624000.0
30.7,1,8,9,1982,3595000.0
54.3,2,6,12,2001,7330000.0
56.2,2,1,9,1994,6205000.0
33.7,1,12,12,2016,4689000.0
36.5,1,1,12,2000,4113000.0
67.6,3,3,5,1973,8611000.0
45.0,2,14,25,2021,6408000.0
52.3,2,8,17,2022,7739000.0
88.2,3,11,25,2004,11579000.0
84.9,3,14,17,2023,12200000.0
58.7,2,8,12,2008,8212000.0
46.5,2,3,25,2019,7339000.0
103.9,4,4,5,1976,11511000.0
56.2,2,3,5,1965,6030000.0
35.0,1,4,5,1960,4091000.0
44.3,1,9,9,1992,5334000.0
49.5,2,4,9,1985,6234000.0
72.0,3,3,9,1978,7668000.0
41.1,1,5,17,2019,6846000.0
27.6,1,7,9,1980,3258000.0
68.7,3,5,9,1982,9326000.0
75.4,3,4,12,2018,10557000.0
22.6,1,4,5,1974,3056000.0
56.8,2,2,17,2021,7720000.0
55.9,2,2,5,1978,5521000.0
34.5,1,13,25,2001,4041000.0
72.3,3,16,17,2003,11994000.0
45.2,1,2,5,1963,5021000.0
42.3,1,3,5,1971,5764000.0
39.5,1,17,17,2017,4884000.0
31.2,1,5,17,2011,4639000.0
39.7,1,8,17,2018,6169000.0
37.4,1,15,17,2024,7376000.0
94.8,3,5,5,1984,10665000.0
26.5,1,6,9,1989,3281000.0
75.5,3,4,5,1969,8918000.0
54.1,2,13,17,2006,6812000.0
58.7,2,4,12,2001,8306000.0
27.8,1,2,9,1987,3653000.0
43.4,1,3,5,1975,5021000.0
45.3,2,7,9,1995,6301000.0
59.1,2,3,9,1982,7480000.0
75.5,3,13,17,2000,10646000.0
72.8,3,5,12,2016,11857000.0
51.1,2,6,17,2014,6953000.0
54.4,2,4,9,1996,6943000.0
75.8,3,3,5,1982,7952000.0
58.4,2,7,17,2013,8767000.0
103.3,4,4,17,2006,12552000.0
75.1,3,2,12,2018,10945000.0
35.3,1,7,17,2009,5712000.0
48.5,1,3,9,1994,6153000.0
62.9,2,1,12,2024,8029000.0
49.8,2,2,9,1985,6961000.0
55.6,2,2,5,1979,7353000.0
76.9,3,1,5,1980,8814000.0
33.1,1,4,5,1981,4091000.0
36.8,1,8,12,2022,4806000.0
26.1,1,6,9,1979,3090000.0
58.0,2,6,12,2006,7235000.0
70.1,2,14,25,2011,10501000.0
37.5,1,1,9,1976,4363000.0
57.5,2,2,9,1981,6738000.0
37.8,1,17,17,2020,5201000.0
28.0,1,8,9,1979,3739000.0
71.2,2,4,5,1981,8591000.0
58.8,2,9,9,1986,6706000.0
59.3,2,3,5,1984,8974000.0
73.1,3,14,25,2003,9166000.0
79.5,3,1,17,2020,10836000.0
51.4,1,10,12,2020,8083000.0
64.8,2,17,17,2018,7593000.0
32.2,2,17,17,2002,3892000.0
85.4,3,1,5,1976,9807000.0
69.1,3,4,17,2003,9048000.0
30.0,1,1,12,2008,3326000.0
30.4,1,2,17,2001,4432000.0
52.4,2,8,17,2009,6930000.0
62.2,2,7,9,1994,8567000.0
37.1,1,1,5,1984,5523000.0
41.9,1,6,9,1983,5646000.0
55.6,2,4,9,1982,7388000.0
29.7,1,15,17,2017,4330000.0
40.7,1,9,17,2010,5259000.0
32.9,1,3,5,1978,4602000.0
40.2,1,3,12,2021,5737000.0
57.0,2,2,9,1992,7287000.0
55.6,2,1,9,1993,7755000.0
49.7,1,1,5,1976,5433000.0
23.7,1,3,9,1994,3620000.0
27.2,1,23,25,2021,4292000.0
50.2,2,9,9,1991,5870000.0
44.0,1,2,12,2014,6726000.0
51.4,2,7,17,2015,6863000.0
34.2,1,1,9,1991,4513000.0
23.7,1,18,25,2007,3832000.0
43.6,1,6,25,2022,6681000.0
